Componente,URLs
SCC 247,"https://untref.edu.ar/mundountref/posgrados-2019-ciencias-sociales, https://untref.edu.ar/mundountref/posgrados-2019-ciencias-gestion"
SCC 248,https://untref.edu.ar/mundountref/galeria-thee-oh-sees
SCC 249,"https://untref.edu.ar/muntref/es/muestras/la-relacion-entre-los-seres-humanos-y-la-naturaleza-a-traves-del-arte/, https://untref.edu.ar/muntref/es/muestras/la-relacion-entre-los-seres-humanos-y-la-naturaleza-a-traves-del-arte/pablo-la-padula_gabinete-biologico-2018-instalacion-de-objetos-y-dibujos-biologicos-en-vitrina-horizontal-200-x-100-x-90-cm_03/, https://untref.edu.ar/muntref/es/muestras/la-relacion-entre-los-seres-humanos-y-la-naturaleza-a-traves-del-arte/pablo-la-padula-el-coctel-del-rinoceronte-2018-dibujo-sobre-vidrio-60-x-90-cm/"
SCC 250,"https://untref.edu.ar/comunicacion-y-prensa, https://untref.edu.ar/press/2021/9, https://untref.edu.ar/press/2023/5, https://untref.edu.ar/press/2018/3, https://untref.edu.ar/press/2019/9, https://untref.edu.ar/press/2017/10, https://untref.edu.ar/press/2018/10"
SCC 251,https://untref.edu.ar/mundountref/tags/tango
SCC 252,"https://untref.edu.ar/mundountref/convenio-club-sirio-libanes-buenos-aires, https://untref.edu.ar/mundountref/UNTREF-UNIVERSIDAD-PUNTA-SAN-LUIS"
SCC 253,"https://untref.edu.ar/mundountref/la-inclusion-educativa-como-aspecto-clave-para-el-desarrollo-de-la-ensenanza-universitaria, https://untref.edu.ar/sitios/ciea/programa-y-proyecto/programa-redes-de-trabajo-interdisciplinario/"
SCC 254,"https://untref.edu.ar/sitios/gac/docentes/marina-zerbarini/, https://untref.edu.ar/sitios/gac/docentes/matias-maggio-ramirez/"
SCC 255,"https://untref.edu.ar/sitios/cidem/equipo.html, https://untref.edu.ar/emprendedores.html"
SCC 256,"https://untref.edu.ar/muntref/en/press, https://untref.edu.ar/muntref/en/center-of-contemporary-art, https://untref.edu.ar/muntref/en/muestras/from-the-eastern-mediterranean-to-the-plata, https://untref.edu.ar/muntref/es/muestras/del-mediterraneo-oriental-al-plata/dsc_0231/"
SCC 257,https://untref.edu.ar/muntref/05786jimenasalvatierra_35/
SCC 258,https://untref.edu.ar/mundountref/tags/voley
SCC 259,"https://untref.edu.ar/instituto/iiac-instituto-de-investigacion-en-arte-y-cultura-dr-norberto-griffa/, https://untref.edu.ar/instituto/archivo-instituto-de-investigacion-en-arte-y-cultura-dr-norberto-griffa, https://untref.edu.ar/instituto/centro-interdisciplinario-en-estudios-y-politicas-de-genero, https://untref.edu.ar/investigadores-martin-acebal"
SCC 260,"https://untref.edu.ar/mundountref/estudiantes-olimpiada-universitaria, https://untref.edu.ar/mundountref/untref-ganador-copa-challenge"
SCC 261,"https://untref.edu.ar/mundountref/transmision-vivo-internet-algoritmos-sociedad, https://untref.edu.ar/mundountref/dengue-en-argentina"
SCC 262,https://untref.edu.ar/events/ciclo-ecologia-de-saberes
SCC 263,"https://untref.edu.ar/mundountref/giselle-soler-patinaje-artistico, https://untref.edu.ar/mundountref/psicomotricidad-untref-margarita-dominguez, https://untref.edu.ar/mundountref/tags/extension, https://untref.edu.ar/mundountref/accion-solidaria-donacion-de-sangre-hospital-garrahan, https://untref.edu.ar/mundountref/fiesta-ajedrez-cedem, https://untref.edu.ar/mundountref/capacitaciones-prevencion-violencia-genero-ley-micaela, https://untref.edu.ar/mundountref/conferencia-de-timothy-clark"
SCC 264,"https://untref.edu.ar/mundountref/tags/musica, https://untref.edu.ar/mundountref/la-familia-de-ukeleles-lleno-de-ritmo-el-xirgu, https://untref.edu.ar/mundountref/6ta-temporada-ciclo-musica-piano, https://untref.edu.ar/mundountref/concierto-dia-internacional-musica, https://untref.edu.ar/mundountref/tags/doc-untref"
SCC 265,https://untref.edu.ar/muntref/lazos-de-cobalto-candela-del-valle/
SCC 266,https://untref.edu.ar/mundountref/tags/unesco
SCC 267,https://untref.edu.ar/mundountref/bim-bienal-arte-movimiento-2020
SCC 268,https://untref.edu.ar/mundountref/la-lupa-practicas-de-cuidado-podcast
SCC 269,"https://untref.edu.ar/mundountref/semana-mundial-inversores-inversoras-acrup, https://untref.edu.ar/mundountref/capacitacion-emprendedores-cidem"
SCC 270,"https://untref.edu.ar/mundountref/viii-congreso-iberoamericano-pedagogia, https://untref.edu.ar/mundountref/jaas-ingenieria-sonido, https://untref.edu.ar/uploads/Formularios/JAAS-4/"
SCC 271,"https://untref.edu.ar/catedra-unesco-de-educacion-superior-y-pueblos-indigenas-y-afrodescendientes-en-america-latina, https://untref.edu.ar/cursos"
SCC 272,"https://untref.edu.ar/mundountref/tags/alumnos, https://untref.edu.ar/mundountref/posgradudados-imagenes, https://untref.edu.ar/mundountref/galeria-acto-colacion-diciembre-2018, https://untref.edu.ar/mundountref/untref-emprende-concurso-estudiantes, https://untref.edu.ar/mundountref/balance-protocolo-genero, https://untref.edu.ar/mundountref/alumnos-secundaria-proyectos-mala-praxis, https://untref.edu.ar/mundountref/educacion-pandemia-gestion-clases-virtuales"
SCC 273,https://untref.edu.ar/mundountref/nota-deconstruccion-juventud-genero-luciana-arauz
SCC 274,"https://untref.edu.ar/muntref/es/muestras/diario-de-la-guerra, https://untref.edu.ar/muntref/es/muestras/diario-de-la-guerra/malvisa03/"
SCC 275,"https://untref.edu.ar/mundountref/tags/produccion-audiovisual, https://untref.edu.ar/mundountref/tags/series-web, https://untref.edu.ar/mundountref/estreno-el-galan-de-venecia, https://untref.edu.ar/mundountref/tarde-baby-un3-malena-pichot, https://untref.edu.ar/mundountref/la-pixelada-estreno-un3, https://untref.edu.ar/mundountref/estreno-historias-migrantes-un3, https://untref.edu.ar/mundountref/tips-audicion-cuidados, https://untref.edu.ar/mundountref/series-gratuitas-un3-cuarentena, https://untref.edu.ar/mundountref/trayectorias-felix-pena"
SCC 276,"https://untref.edu.ar/mundountref/tags/economia, https://untref.edu.ar/mundountref/relaciones-argentina-china-politica-exterior, https://untref.edu.ar/mundountref/tags/migraciones, https://untref.edu.ar/mundountref/minorizados-migrantes-simposio-lasa, https://untref.edu.ar/muntref/museo-de-la-inmigracion/"
SCC 277,https://untref.edu.ar/untref-saludable
SCC 278,https://untref.edu.ar/mundountref/voley-amateur-masculino-femenino-ascenso
SCC 279,"https://untref.edu.ar/mundountref/tags/flisol, https://untref.edu.ar/mundountref/la-universidad-nacional-de-tres-de-febrero-fue-sede-del-flisol"
SCC 280,"https://untref.edu.ar/mundountref/eduardo-jozami-ddhh-cem-ministerio-de-defensa, https://untref.edu.ar/mundountref/fallecio-el-docente-pedro-fernando-nunez, https://untref.edu.ar/mundountref/muestra-homenaje-sacco-muntref"
SCC 281,"https://untref.edu.ar/mundountref/tags/cultura, https://untref.edu.ar/mundountref/tags/eduntref, https://untref.edu.ar/mundountref/tags/historia, https://untref.edu.ar/mundountref/presentacion-libro-nacional-popular-gino-germani, https://untref.edu.ar/mundountref/cistas-congreso-opera-latinoamerica, https://untref.edu.ar/mundountref/jornadas-acustica-audio-sonido, https://untref.edu.ar/mundountref/aporte-migrantes-argentina, https://untref.edu.ar/mundountref/miramuntref-contenido-audiovisual-mas-visto, https://untref.edu.ar/mundountref/gastronomia-molecular-iiac-internacional, https://untref.edu.ar/mundountref/nuevas-muestras-muntref-marzo-2019, https://untref.edu.ar/mundountref/centro-materia-capacitacion-museo-provincial-artes-la-pampa, https://untref.edu.ar/mundountref/bienalsur-el-arte-sin-fronteras, https://untref.edu.ar/mundountref/segunda-edicion-musica-maestra, https://untref.edu.ar/mundountref/distincion-musica-untref, https://untref.edu.ar/mundountref/miguel-angel-estrella-ciclo-conciertos-piano, https://untref.edu.ar/mundountref/bienalsur-2021, https://untref.edu.ar/mundountref/llega-bienalsur-2019, https://untref.edu.ar/mundountref/historias-de-migrantes-muntref, https://untref.edu.ar/mundountref/la-materialidad-artistica-y-el-rol-de-la-interdisciplina-desde-la-mirada-de-los-especialistas"
SCC 282,"https://untref.edu.ar/mundountref/tags/institucional, https://untref.edu.ar/mundountref/salud-mental-durante-el-aislamiento, https://untref.edu.ar/mundountref/encuentro-gobernanza-global-delegacion-china, https://untref.edu.ar/mundountref/comienzan-preinscripciones-carreras-grado-2022, https://untref.edu.ar/mundountref/segundo-cuatrimestre-virtual-2020-covid-19, https://untref.edu.ar/mundountref/tags/ajedrez, https://untref.edu.ar/mundountref/inscripcion-2020-gestion-logistica-diplomaturas-untref-virtual, https://untref.edu.ar/mundountref/fiesta-fin-2019, https://untref.edu.ar/mundountref/tags/untref-virtual, https://untref.edu.ar/mundountref/inscripcion-2020-ciencias-sociales-diplomatura-untref-virtual, https://untref.edu.ar/mundountref/inscripcion-2020-untref-virtual-diplomaturas-gestion-logistica-distancia, https://untref.edu.ar/mundountref/capacitacion-financiera-pymes, https://untref.edu.ar/mundountref/untrefvoley-liga-argentina-2018, https://untref.edu.ar/mundountref/convenio-con-gobierno-nacional-finalizar-nueva-sede, https://untref.edu.ar/mundountref/tags/galeria-de-fotos, https://untref.edu.ar/mundountref/docentes-no-docentes-homenaje-trayectoria, https://untref.edu.ar/mundountref/semidawi-y-la-orquesta-fernandez-fierro-xirgu, https://untref.edu.ar/mundountref/primera-camada-gestion-turistica-patrimonio-tucuman"
SCC 283,"https://untref.edu.ar/mundountref/inscripcion-deportes-untref, https://untref.edu.ar/mundountref/foro-seminario-raza-racismo-discrminiacion"
SCC 284,"https://untref.edu.ar/mundountref/articulos, https://untref.edu.ar/mundountref/UN3-estrena-julia-Off , https://untref.edu.ar/mundountref/mala-praxis-continua-su-intervencion-en-las-aulas-de-secundaria, https://untref.edu.ar/mundountref/cortometrajes-gratuitos-covid-19-maestria-periodismo, https://untref.edu.ar/mundountref/estreno-exclusivo-de-flow-esto-no-es-un-hotel-una-coproduccion-del-canal-un3, https://untref.edu.ar/mundountref/dia-del-nino-en-muntref, https://untref.edu.ar/mundountref/sigamos-creciendo-juntos-en-2018, https://untref.edu.ar/mundountref/covid-19-velocidad-de-propagacion, https://untref.edu.ar/mundountref/ottmar-ette-literatura-mundo-potencia-vida, https://untref.edu.ar/mundountref/preinscripcion-online-a-las-carreras-2017, https://untref.edu.ar/mundountref/ejercicios-de-memoria, https://untref.edu.ar/mundountref/preinscripcion-online-carreras-2020, https://untref.edu.ar/mundountref/historico-ascenso-del-voley-femenino-de-la-untref, https://untref.edu.ar/mundountref/despedimos-el-2020-gracias-por-acompanarnos, https://untref.edu.ar/mundountref/obra-terminada-untref-aumenta-cantidad-de-alumnos, https://untref.edu.ar/mundountref/recuperaran-la-obra-ensayistica-del-escritor-argentino-juan-rodolfo-wilcock, https://untref.edu.ar/mundountref/la-untref-y-el-municipio-de-tigre-firman-un-convenio-de-proteccion-medioambiental, https://untref.edu.ar/mundountref/estreno-tercer-cuerpo-en-el-xirgu-espacio-untref, https://untref.edu.ar/mundountref/diseno-arte-nuevo-seminario-de-posgrado, https://untref.edu.ar/mundountref/mesa-bienal-de-venecia-2013, https://untref.edu.ar/mundountref/el-regreso-mas-esperado-el-equipo-masculino-de-untref-voley-logro-el-ascenso, https://untref.edu.ar/mundountref/marble-legends-videojuego-untrefmedia, https://untref.edu.ar/mundountref/bienalsur-realiza-inauguraciones-en-buenos-aires-e-islas-canarias, https://untref.edu.ar/mundountref/acciones-bienalsur-mundo-academico, https://untref.edu.ar/mundountref/materia-americana-reconocimiento-arte, https://untref.edu.ar/mundountref/untref-media-premiada-en-los-atvc, https://untref.edu.ar/mundountref/la-oiant-cerro-con-exito-su-gira-por-mexico, https://untref.edu.ar/mundountref/charla-marketing-sociedad, https://untref.edu.ar/mundountref/charla-convergencia-digital-imagen, https://untref.edu.ar/mundountref/argentina-suena-cd, https://untref.edu.ar/mundountref/el-presupuesto-a-la-educacion-sufrio-un-recorte-del-35-en-los-ultimos-cuatro-anos, https://untref.edu.ar/mundountref/oiant-cck-harawi-ritual, https://untref.edu.ar/mundountref/los-diarios-titulan-con-encuestas-que-no-se-sabe-ni-de-donde-son-senalan-especialistas, https://untref.edu.ar/mundountref/prietto-y-poli-en-el-xirgu, https://untref.edu.ar/mundountref/conferencia-sobre-los-acuerdos-de-libre-comercio-y-su-impacto-en-la-region, https://untref.edu.ar/mundountref/erase-esta-vez-relatos-de-comienzo, https://untref.edu.ar/mundountref/silencio-ribera-untref-media-festival-mexico, https://untref.edu.ar/mundountref/la-construccion-del-conocimiento-mediante-la-relacion-arte-y-tecnologia, https://untref.edu.ar/mundountref/rogelio-frigerio-visito-muntref, https://untref.edu.ar/mundountref/revista-innova-ciencia-tecnologia-quinta-edicion, https://untref.edu.ar/mundountref/la-oiant-celebro-sus-20-anos-con-un-concierto-inolvidable, https://untref.edu.ar/mundountref/asumieron-las-nuevas-autoridades-de-la-universidad, https://untref.edu.ar/mundountref/convocatoria-escuela-complutense-latinoamericana-ecl, https://untref.edu.ar/mundountref/gira-oiant-argentina-brasil-peru, https://untref.edu.ar/mundountref/v-congreso-nacional-e-internacional-de-estudios-comparados-en-educacion, https://untref.edu.ar/mundountref/ingenieria-sonido-primera-graduada, https://untref.edu.ar/mundountref/el-crimen-organizado-en-el-cono-sur-en-debate, https://untref.edu.ar/mundountref/especialistas-en-cooperativismo-destacaron-el-rol-solidario-de-la-economia-social, https://untref.edu.ar/mundountref/conferencia-boaventura-de-sousa-santos, https://untref.edu.ar/mundountref/expountref-2014, https://untref.edu.ar/mundountref/hystorika-en-el-xirgu, https://untref.edu.ar/mundountref/cecilia-nieto-competira-en-los-juegos-panamericanos-de-natacion, https://untref.edu.ar/mundountref/untref-media-consejo-publicitario-contenidos-pandemia, https://untref.edu.ar/mundountref/beneficios-e-mail-cuentas-tuntref-estudiantes, https://untref.edu.ar/mundountref/festival-circo-untref, https://untref.edu.ar/mundountref/orquesta-untref-concierto-cck, https://untref.edu.ar/mundountref/jeremias-tejo-artes-circo-cambiar-el-rumbo, https://untref.edu.ar/mundountref/apertura-bienalsur-buenos-aires, https://untref.edu.ar/mundountref/inauguro-bienalsur-2021, https://untref.edu.ar/mundountref/estudio-cinea-resultado-programa-social, https://untref.edu.ar/mundountref/se-presento-el-libro-pier-pasolini-y-el-tercer-mundo, https://untref.edu.ar/mundountref/condecoran-a-anibal-jozami-como-oficial-de-la-orden-de-las-artes-y-las-letras, https://untref.edu.ar/mundountref/ingenieria-2014-latinoamerica-y-caribe-congreso-y-exposicion, https://untref.edu.ar/mundountref/jornada-de-donacion-para-el-hospital-garrahan, https://untref.edu.ar/mundountref/sebastian-lopez-proyecto-gestion-deporte, https://untref.edu.ar/mundountref/convocatoria-para-el-programa-para-la-investigacion-universitaria-argentina, https://untref.edu.ar/mundountref/bienalsur-2023-se-inaugura-el-1-de-julio-en-mar-del-plata, https://untref.edu.ar/mundountref/conferencia-virtual-utopia-cultura-internet-agotamiento, https://untref.edu.ar/mundountref/despedimos-a-jose-pepe-paradiso, https://untref.edu.ar/mundountref/charla-completa-de-menchu-gutierrez-en-la-untref, https://untref.edu.ar/mundountref/muntref-inauguraciones-y-actividades-durante-las-vacaciones-de-invierno-2, https://untref.edu.ar/mundountref/informe-del-cinea-sobre-modelo-productivo, https://untref.edu.ar/mundountref/cursos-soevo, https://untref.edu.ar/mundountref/bienalsur-2019-montevideo-madrid-paris, https://untref.edu.ar/mundountref/el-embajador-de-israel-visito-muntref, https://untref.edu.ar/mundountref/casi-200-proyectos-de-ciencia-tecnologia-e-innovacion-en-favor-de-la-comunidad, https://untref.edu.ar/mundountref/los-nuevos-posgraduados-llamaron-a-defender-la-educacion-publica, https://untref.edu.ar/mundountref/estreno-teatral-ojo-por-ojo, https://untref.edu.ar/mundountref/termotanques-solares-comunitarios-un-proyecto-de-ingenieria-ambiental, https://untref.edu.ar/mundountref/finalizo-el-congreso-internacional-ruben-dario, https://untref.edu.ar/mundountref/inauguracion-muestra-deira-mas-alla-de-la-otra-figuracion, https://untref.edu.ar/mundountref/ un3-se-alzo-con-un-nuevo-martin-fierro-digital-con-la-serie-lxs-mentirosxs, https://untref.edu.ar/mundountref/nuevo-estreno-un3-cancelled, https://untref.edu.ar/mundountref/proyecto-diaspora-artes-electronicas, https://untref.edu.ar/mundountref/daniel-arroyo-charla-derechos-movimiento-economico, https://untref.edu.ar/mundountref/jornada-fracturas-desafios-trabajo, https://untref.edu.ar/mundountref/proyecto-ley-mejorar-calidad-acustica-ambiente, https://untref.edu.ar/mundountref/gramsci-ayer-y-hoy, https://untref.edu.ar/mundountref/afiches-del-peronismo-desde-1945-a-1955-contando-la-historia-con-imagenes, https://untref.edu.ar/mundountref/cerca-de-200-nuevos-graduados-recibieron-sus-diplomas, https://untref.edu.ar/mundountref/xii-congreso-internacional-museos-inclusivos, https://untref.edu.ar/mundountref/tags/coloquios, https://untref.edu.ar/mundountref/un3-participo-en-fidewa, https://untref.edu.ar/mundountref/conocer-el-conurbano-para-resolver-sus-problemas-la-mision-de-las-universidades, https://untref.edu.ar/mundountref/una-propuesta-que-incentiva-el-ingreso-a-la-educacion-superior, https://untref.edu.ar/mundountref/se-presento-oficialmente-el-libro-cincuenta-anos-de-educacion-en-la-argentina, https://untref.edu.ar/mundountref/la-industria-de-los-recursos-naturales-es-una-esperanza-para-el-futuro, https://untref.edu.ar/mundountref/untref-media-presento-catalogo-tecnologia-inmersiva, https://untref.edu.ar/mundountref/untref-judo-juegos-mundiales-universitarios, https://untref.edu.ar/mundountref/demografia-africana-migracion-e-ideologia-xenofobica-en-francia, https://untref.edu.ar/mundountref/lanzamiento-del-summer-2017, https://untref.edu.ar/mundountref/cidem-universidad-empresarios-pymes, https://untref.edu.ar/mundountref/episodio-7-pueblos-originarios-podcast, https://untref.edu.ar/mundountref/primeras-graduadas-de-psicomotricidad-en-jujuy, https://untref.edu.ar/mundountref/tags/graduados, https://untref.edu.ar/mundountref/cuerpodromo-gestion-delarte-ylacultura, https://untref.edu.ar/mundountref/llega-el-universo-conspira-a-la-pantalla-de-un3, https://untref.edu.ar/mundountref/maestria-artes-electronicas-escenario-internacional, https://untref.edu.ar/mundountref/propuestas-para-la-integracion-productiva-regional-y-global, https://untref.edu.ar/mundountref/suono-mobile-se-presento-en-el-ciclo-de-musica-para-ensambles, https://untref.edu.ar/mundountref/racismo-y-educacion-superior-en-estados-unidos, https://untref.edu.ar/mundountref/muntref-suma-dos-muestras-que-reflexionan-sobre-el-ambiente-y-el-espacio-tiempo, https://untref.edu.ar/mundountref/cada-vez-mas-deportistas-se-suman-al-programa-doble-carrera, https://untref.edu.ar/mundountref/las-vueltas-de-peron-un-libro-que-relata-sus-formas-de-hacer-politica, https://untref.edu.ar/mundountref/la-untref-es-pionera-en-incluir-la-perspectiva-de-genero-en-una-carrera-de-geografia, https://untref.edu.ar/mundountref/hoy-1800-hs-¡sumate-al-streaming-charla-de-apertura-primer-congreso-argentino-de-politicas-sociales, https://untref.edu.ar/mundountref/entrega-diplomas-posgrados-untref-2019, https://untref.edu.ar/mundountref/tercer-gardel-untref-sonoro-trino, https://untref.edu.ar/mundountref/un3-estrena-soy-ander-la-nueva-serie-interpretada-por-candela-vetrano, https://untref.edu.ar/mundountref/premios-konex-untref-obtuvo-tres-diplomas-al-merito-por-bienalsur-y-sus-docentes, https://untref.edu.ar/mundountref/la-untref-presenta-plan-para-reforzar-vinculo-con-la-escuela-secundaria, https://untref.edu.ar/mundountref/radio-podcast-convergencia-digital-jornadas, https://untref.edu.ar/mundountref/bienalsur-presenta-nuevo-proyecto-artistico-cultural, https://untref.edu.ar/mundountref/nueva-presidenta-de-untref-acr-up, https://untref.edu.ar/mundountref/pez-gordo-llega-al-canal-de-la-universidad, https://untref.edu.ar/mundountref/tercer-ciclo-de-conferencias-de-teoria-social, https://untref.edu.ar/mundountref/violencia-de-genero-protocolo-acciones, https://untref.edu.ar/mundountref/los-feminismos-de-la-segunda-ola-y-su-ecos-en-el-presente, https://untref.edu.ar/mundountref/la-untref-afianza-vinculos-internacionales-con-la-embajada-de-tunez"
SCC 285,"https://untref.edu.ar/muntref/en/exhibition-files/a2012, https://untref.edu.ar/muntref/en/muestras/boltanski-buenos-aires-2/"
SCC 286,"https://untref.edu.ar/sitios/gac/eventos-mes/julio/, https://untref.edu.ar/sitios/gac/calendario-academico/general/"
SCC 287,"https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales, https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales/cena1ra032/, https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales/vitriol-experimance-y-conferencia-transmodal_fotos_-federico-bautis-gentileza-muntref-2/, https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales/img_8750/, https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales/img_8773-copia-2/"
SCC 288,"https://untref.edu.ar/sitios/cinea/servicios/, https://untref.edu.ar/sitios/cinea/articulos-prensa/"
SCC 289,"https://untref.edu.ar/sitios/mgaie/noticias/page/6/, https://untref.edu.ar/sitios/mgaie/curso-de-verano-en-estadistica-aplicada/, https://untref.edu.ar/sitios/mgaie/fundamentos-de-la-programacion-estadistica-y-data-mining-en-r-estadistica-descriptiva-modelos-de-regresion-y-arboles-de-decision-inicia-197/"
SCC 290,https://untref.edu.ar/mundountref/tags/ficcion
SCC 291,"https://untref.edu.ar, https://untref.edu.ar/events/seminario-virtual-de-posgrado-bases-de-datos-biomedicos-y-geneticos, https://untref.edu.ar/events/i-congreso-internacional-sudamericano-de-historia-del-arte-xvi-jornadas-de-historia-del-arte-2, https://untref.edu.ar/events/ciclo-de-conferencias-migraciones-internacionales-4, https://untref.edu.ar/events/iv-foro-internacional-narrativas-en-las-fronteras-los-nuevos-viejos-relatos-de-la-actualidad-3, https://untref.edu.ar/mundountref/las-inscripciones-para-las-carreras-de-grado-2025-comenzaran-el-7-de-octubre, https://untref.edu.ar/soevo-orientacion-vocacional, https://untref.edu.ar/events/i-congreso-internacional-sudamericano-de-historia-del-arte-xvi-jornadas-de-historia-del-arte, https://untref.edu.ar/events/seminario-doctoral-nociones-generales-de-estetica-arabiga-y-mudejar"
SCC 292,"https://untref.edu.ar/mundountref/riesgo-adultos-mayores-covid-19, https://untref.edu.ar/mundountref/ecocamas-para-pacientes-con-covid-19-suman-solidaridad-empatia-arte-y-creatividad"
SCC 293,"https://untref.edu.ar/mundountref/tags/comunicado, https://untref.edu.ar/mundountref/ingresantes-preinscripciones-2019, https://untref.edu.ar/mundountref/aislamiento-preventivo-covid-19"
SCC 294,"https://untref.edu.ar/muntref/es/contacto, https://untref.edu.ar/muntref/es/ubicacion , https://untref.edu.ar/muntref/en, https://untref.edu.ar/muntref/en/muestras/the-gestures-of-work/, https://untref.edu.ar/muntref/es/muestras/los-gestos-del-trabajo/los-gestos-del-trabajo11/, https://untref.edu.ar/muntref/en/exhibition-files/a2021"
SCC 295,"https://untref.edu.ar/muntref/es/muestras/diario-de-la-guerra/, https://untref.edu.ar/muntref/es/muestras/diario-de-la-guerra/foto-2/"
SCC 296,"https://untref.edu.ar/muntref/es/muestras/cruce-en-el-rio-adriana-bustos, https://untref.edu.ar/muntref/es/muestras/cruce-en-el-rio-adriana-bustos/cruce-en-el-rio05/, https://untref.edu.ar/muntref/es/muestras/cruce-en-el-rio-adriana-bustos/cruce-en-el-rio07/"
SCC 297,"https://untref.edu.ar/mundountref/tags/literatura, https://untref.edu.ar/mundountref/homenajes-borges-2020, https://untref.edu.ar/mundountref/homenaje-mario-bellatin, https://untref.edu.ar/mundountref/eduntref-en-la-feria-del-libro"
SCC 298,"https://untref.edu.ar/mundountref/estrenos-un3-cablevision-flow, https://untref.edu.ar/mundountref/un3-el-lider-julian-lucero"
SCC 299,"https://untref.edu.ar/events/ciclo-de-conferencias-migraciones-internacionales-2, https://untref.edu.ar/mundountref/cat/audiovisual, https://untref.edu.ar/mundountref/premios-un3-internaciona-buenos-aires-series, https://untref.edu.ar/mundountref/preestreno-comedia-demonios-un3, https://untref.edu.ar/mundountref/un3-premio-fundtv, https://untref.edu.ar/mundountref/un-film-de-untref-media-se-estreno-en-el-festival-internacional-de-cine-de-la-uba, https://untref.edu.ar/mundountref/daniel-merle-fotoperiodismo, https://untref.edu.ar/mundountref/informe-genero-mujeres-carcel"
SCC 300,"https://untref.edu.ar/mundountref/dia-mundial-de-la-audicion-2020, https://untref.edu.ar/mundountref/oir-hibrido-musica-artes-electronicas"
SCC 301,"https://untref.edu.ar/muntref/en/noticias/the-muntref-museum-view-app-has-incorporated-new-immersive-experiences/, https://untref.edu.ar/muntref/en/exhibition-files/a2019, https://untref.edu.ar/muntref/en/muestras/walkers/"
SCC 302,"https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas, https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas/cequimera2024_06/, https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas/sierva_paisajediptico_08/, https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas/treatise02_thegardenofcuriosity_buenosaires/"
SCC 303,"https://untref.edu.ar/muntref/en/muestras/transorganic-exchanges, https://untref.edu.ar/muntref/es/muestras/intercambios-transorganicos/fonocosaaldo2/"
SCC 304,"https://untref.edu.ar/muntref/es/muestras/35-x-35-una-instalacion-democratica-un-fresco-y-una-obra-coral, https://untref.edu.ar/muntref/es/muestras/35-x-35-una-instalacion-democratica-un-fresco-y-una-obra-coral/muntref_35x35-7/"
SCC 305,https://untref.edu.ar/mundountref/bienalsur-cordoba-san-juan-buenos-aires
SCC 306,https://untref.edu.ar/events/la-noche-de-los-museos-en-muntref-sede-hotel-de-inmigrantes
SCC 307,https://untref.edu.ar/ventanillas
SCC 308,"https://untref.edu.ar/mundountref/condolencias-fallecimiento-rabino-baruj-plavnick, https://untref.edu.ar/mundountref/un3-mas-premios-y-nominaciones"
SCC 309,"https://untref.edu.ar/sitios/cinea/, https://untref.edu.ar/sitios/cinea/presentacion/"
SCC 310,https://untref.edu.ar/sitios/mgaie/
SCC 311,"https://untref.edu.ar/mundountref/posgrados-inscripciones-abiertas-para-el-1er-cuatrimestre-2024, https://untref.edu.ar/posgrado/%20diplomatura-superior-en-diversidad-religiosa-y-espiritual"
SCC 312,https://untref.edu.ar/mundountref/serie-ganadora-INCAA-haciendo-escenas-en-pantalla
SCC 313,"https://untref.edu.ar/mundountref/episodio-2-primera-guerra-podcast, https://untref.edu.ar/mundountref/episodio-1-primera-guerra-podcast"
SCC 314,"https://untref.edu.ar/mundountref/conferencia-ideologia-redes-sociales-geert-lovink, https://untref.edu.ar/mundountref/franco-bifo-berardi-dara-una-videoconferencia-sobre-literatura-y-peste"
